start,duration,value
2020-10-18T07:08:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[64,61,61,59,66,68,68,71,65,59,67,63,60,55,58,59,58,60,60,61,62,62,63,58,64,56,54,58,59,57,58,58,58,63,65,66,65,66,66,63,67,63,57,61,58,61,64,63,61,60,61,62,55,56,57,60,57,56,55,57,59,61,64,59,56,55,53,56,57,57,57,57]"
2020-10-18T08:41:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[56,56,52,55,54,54,55,53,58,58,60,59,58,58]"
2020-10-18T08:56:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[53,76,63,58,55,57,58,59,54,57,55,53,49,47,56,50,53,51,51,57,50,53,57,55,59,54,50,56,57,60,60,61,59,55,61,61,61,59,58,59]"
2020-10-18T09:37:00+02:00,"[60,60,60,60,60,60,60,60]","[60,60,59,57,60,58,58,59]"
2020-10-18T09:47:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[54,55,58,54,57,59,59,55,57,57,59,60,57,59,61,63,59,59,64,62,62,59,57,57,57,59,60,60,61,58,58,59,57,59,59,60,57,59,59,58,60,58]"
2020-10-18T10:31:00+02:00,"[60,60,60,60]","[61,63,65,66]"
2020-10-18T10:42:00+02:00,"[60,60,60,60]","[62,64,61,58]"
2020-10-15T23:53:00+02:00,[60],[70]
2020-10-15T23:56:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[65,67,63,68,62,53,63,72,68,61,63,63,65,59,62,57,67,63,64,53,61,63,61,64,64,66,65,54,63,71,60,59,64,62,69,66,66,63,66,69,66,70,66,60,72,62,64,70,75,67,70,70,73,74,66,71,73,73,72,72,69,67,68,72,73,72,72,71,69,70,69,74,67,72,71,69,69,70,71,71,71,71,70,71,71,71,71,72,73,72,72,72,72,73,72,72,73,72,73,73,74,73,73,73,73,73,73,73,73,73,73,73,72,73,72,71,72,71,71,71,74,75,67,73,75,73,72,71,69,69,70,69,67,67,63,63,65,69,64,64,66,66,66,66,65,65,66,65,66,65,65,65,65,66,66,64,66,67,67,66,68,65,67,66,67,66,67,67,66,68,66,65,68,68,68,69,69]"
2020-10-16T02:53:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[69,68,69,70,72,71,61,67,60,60,60,61,63,63,63,65,65,65,60,59,59,60,59,58,59,60,62,63,66,63,66,69,66,64,63,64,59,63,63,60,59,57,64,63,61,64,61,61,63,65,61,61,62,64,61,64,61,63,59,58,64,65,62,61,64,63,63,65,61,64,63,63,64,61,61,64,62,64,61,61,62,61,64,63,63,65,64,64,63,64,65,64,65,65,65,65,65,66,67,66,67,66,66,67,67,68,64,65,64,64,65,65,66,66,65,66,66,67,67,67,66,67,68,68,67,67,67,68,68,67,66,63,63,60,55,64,66,67,65,66,66,66,69,65,67,68,66,66,64,64,62,63,61,64,66,66,67,60,66,68,65,67,60,61,59,65,67,65,64,68,66,67,66,68,63,68,68,63,66,65]"
2020-10-16T05:24:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[63,61,64,66,66,67,60,66,68,65,67,60,61,59,65,67,65,64,68,66,67,66,68,63,68,68,63,66,65,67,66,66,66,66,66,69,66,65,66,66,68,66,68,66,66,63,63,63,63,64,64,66,65,63,64,65,64,64,66,64,63,62,63,64,67,61,64,64,63,63,59,62,61,62,62,62,64,64,63,61,66,63,64,67,62,62,62,59,62,69,61,61,61,61,62,64,62,66,60,62,63,62,60,63,61,60,61,60,66,68,62,63,65,63,64,65,60,63,63,58,62,61,61,61,64,65,66,59,62,61,60,60,62,60,58,59,61,60,59,60,62,65,61,60,61,62,71,58,55,57,58,72]"
2020-10-16T05:53:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[67,66,66,66,66,66,69,66,65,66,66,68,66,68,66,66,63,63,63,63,64,64,66,65,63,64,65,64,64,66,64,63,62,63,64,67,61,64,64,63,63,59,62,61,62,62,62,64,64,63,61,66,63,64,67,62,62,62,59,62,69,61,61,61,61,62,64,62,66,60,62,63,62,60,63,61,60,61,60,66,68,62,63,65,63,64,65,60,63,63,58,62,61,61,61,64,65,66,59,62,61,60,60,62,60,58,59,61,60,59,60,62,65,61,60,61,62,71,58,55,57,58,72]"
2020-10-16T08:01:00+02:00,[60],[50]
2020-10-12T20:47:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[65,61,51,52,50,50,56,72,67,61,65,72,66,56,53,50,52,51,57,53,51,61,51,64,51,59,50,50,51,52,50,51,54,72,69,67,50,53,51,57,61,60,55,54,66,53,73,68,63,54,54,56,60,56,65,59,63,71,62,54,54,55,66,61,59,54,53,54,63,62,62,58,53,53,59,54,63,60,73,64,57,64,55,56,55,55,58,63,69,61,54,52,53,54,54,65,72,55,63,52,52,53,53,52,53,55,62,54,53,54,52,53,59,60,62,58,57,64,63,57,56,57,56,71,61,62,59,55,54,53,55,68,60,65,57,66,56,62,61,68,55,63,66,67,53,56,64,63,65,62,65,64,53,62,63,69,72,59,60,60,52,53,52,52,51,51,61,53,58,62,64,53,52,52,50,50,65,69,68,60]"
2020-10-12T21:10:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[64,51,59,50,50,51,52,50,51,54,72,69,67,50,53,51,57,61,60,55,54,66,53,73,68,63,54,54,56,60,56,65,59,63,71,62,54,54,55,66,61,59,54,53,54,63,62,62,58,53,53,59,54,63,60,73,64,57,64,55,56,55,55,58,63,69,61,54,52,53,54,54,65,72,55,63,52,52,53,53,52,53,55,62,54,53,54,52,53,59,60,62,58,57,64,63,57,56,57,56,71,61,62,59,55,54,53,55,68,60,65,57,66,56,62,61,68,55,63,66,67,53,56,64,63,65,62,65,64,53,62,63,69,72,59,60,60,52,53,52,52,51,51,61,53,58,62,64,53,52,52,50,50,65,69,68,60,58,58,48]"
2020-10-12T23:52:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[48,49,49,48,52,48,48,47,47,47,45,46,44,45,45,62,44,45]"
2020-10-12T23:47:00+02:00,"[60,60,60]","[58,58,48]"
