start,duration,value
2020-10-17T23:19:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[13,11,12,15,20,17,10,19,20,21,22,20,20,20,20,20,19,19,19,18,20,18,18,18,18,16,17,17,16,16,17,17,17,20,18,17,17,17,18,18,17,17,17,16,19,18,16,17,17,17,17,17,17,17,17,17,17,18,17,18,18,18,18,17,17,18,18,18,18,18,18,18,18,18,18,19,17,18,17,18,17,18,17,18,18,17,18,18,17,17,17,18,17,19,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,18,18,18,17,18,18,17,18,18,18,19,18,17,17,19,19,19,19,19,19,19,18,19,18,18,19,19,19,19,19,19,20,20,19,20,20,20,19,20,20,20,20,20,20,20,19,20,20,19,19,20,20,19,20,20,20,20,16,16,18,17,17,18,18,18,19]"
2020-10-18T02:14:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[18,18,20,20,18,18,19,19,19,18,19,19,19,18,18,18,18,18,18,19,18,18,18,19,18,18,18,18,17,17,17,17,17,18,19,18,18,18,19,18,20,21,18,18,18,18,18,18,17,16,17,17,17,17,17,18,18,18,18,19,19,17,18,19,18,18,18,19,19,19,19,18,19,18,18,18,18,18,19,19,18,19,18,18,18,17,19,17,19,19,18,19,18,18,19,18,19,19,19,19,19,19,19,17,18,18,18,17,18,17,18,18,18,18,18,18,18,20,17,20,22,20,19,23,22,17,17,17,19,17,17,18,20,19,17,18,18,19,19,21,20,20,22,18,18,17,18,18,17,18,18,18,18,18,17,17,19,18,15,17,16,16,17,17,16,19,17,17,17,18,18,19,18,16,19,19,19,15,17,17]"
2020-10-18T05:14:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[17,17,18,17,18,18,18,19,20,17,18,19,19,19,19,20,19,19,19,19,18,18,19,19,19,19,20,20,19,20,19,19,18,18,19,20,20,19,19,19,19,20,19,20,19,19,19,18,18,19,17,15,19,19,19,19,19,19,20,18,18,17,17,21,22,21,19,17,18,17,19,18,17,19,16,16,17,17,17,17,19,18,16,18,17,16,15,15,16,16,18,18,17,18,18,18,16,18,17,17,19,19,19,19,17,17,16,17,16,17,15,17]"
2020-10-18T07:08:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[14,15,17,18,18,17,18,17,18,18,18,18,17,15,17,18,18,14,18,13,12,17,17,18,16,18,19,18,17,17,18,18,17,18,17,18,15,18,19,19,20,18,18,15,19,19,20,19,19,19,20,17,18,17,17,17,15,16,17,20,20,19,18,20,20,17,18,20,20,20,20,23]"
2020-10-18T08:41:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[13,17,18,18,17,17,17,17,18,18,18,18,18,18]"
2020-10-18T08:56:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[17,17,10,17,18,17,17,16,16,18,16,17,17,17,17,17,17,17,16,18,18,17,16,17,18,16,18,17,18,17,19,18,19,18,16,15,18,16,17,15]"
2020-10-18T09:37:00+02:00,"[60,60,60,60,60,60,60,60]","[16,15,16,15,16,16,17,17]"
2020-10-18T09:47:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[16,17,16,17,17,17,16,17,16,18,18,19,17,20,22,21,20,20,22,19,17,17,18,19,17,18,20,18,17,17,17,15,15,16,17,17,16,17,19,17,16,15]"
2020-10-18T10:31:00+02:00,"[60,60,60,60]","[15,15,19,11]"
2020-10-18T10:42:00+02:00,"[60,60,60,60]","[17,18,17,11]"
2020-10-15T23:53:00+02:00,[60],[14]
2020-10-15T23:56:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[11,12,11,15,9,10,12,15,14,11,19,14,15,19,11,13,17,15,16,10,20,15,17,24,15,14,15,15,19,14,16,17,17,15,12,15,16,17,20,15,12,13,13,11,15,13,17,11,11,10,15,22,16,17,18,13,20,22,21,21,21,21,22,21,20,20,18,22,22,20,17,11,13,21,18,18,17,17,17,19,18,18,18,19,18,19,19,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,15,16,19,17,17,17,17,18,17,17,18,17,17,18,18,18,18,18,16,17,17,17,17,17,17,18,18,17,17,17,16,18,17,17,17,17,17,19,18,18,18,18,17,17,18,17,18,17,18,17,18,17,19,18,18,18]"
2020-10-16T02:53:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[18,18,18,18,18,17,16,17,17,16,17,16,16,16,17,17,17,17,17,16,17,17,17,17,17,17,18,18,19,17,18,18,17,18,19,18,17,15,17,19,17,17,17,20,17,16,18,18,18,18,18,17,17,17,17,17,18,17,17,16,18,18,16,16,18,17,17,21,17,17,17,16,18,18,18,18,18,19,17,17,17,17,18,18,18,18,19,19,18,19,18,19,19,18,18,19,19,19,19,19,18,19,19,18,19,18,14,17,17,17,18,17,17,17,17,17,17,18,16,15,16,15,16,15,15,15,16,15,16,15,17,17,17,18,19,17,20,18,18,20,18,18,21,19,20,18,17,18,20,18,16,19,18,17,19,20,18,18,20,20,18,20,18,18,18,16,20,20,17,20,17,14,17,18,19,19,19,19,18,19]"
