timestamps,TP9,AF7,AF8,TP10,Right AUX
1606398310.497,-29.785,-36.621,-39.551,-17.578,0.000
1606398310.501,-39.551,-25.391,-31.738,-27.344,0.000
1606398310.504,-43.945,-30.762,-29.297,-31.738,0.000
1606398310.508,-38.086,-35.645,-30.273,-21.484,0.000
1606398310.512,-30.762,-29.785,-26.367,-18.066,0.000
1606398310.516,-31.250,-33.691,-34.180,-25.391,0.000
1606398310.520,-31.738,-39.062,-45.898,-27.832,0.000
1606398310.524,-34.180,-23.926,-32.227,-27.832,0.000
1606398310.528,-42.480,-17.090,-28.809,-34.180,0.000
1606398310.532,-37.598,-19.531,-40.527,-33.691,0.000
1606398310.536,-27.832,-25.879,-36.133,-29.785,0.000
1606398310.540,-27.832,-32.715,-34.668,-29.297,0.000
1606398310.543,-33.691,-35.156,-30.273,-24.902,0.000
1606398310.547,-43.457,-36.133,-25.391,-27.344,0.000
1606398310.551,-40.039,-42.480,-27.344,-23.438,0.000
1606398310.555,-29.785,-52.246,-27.344,-20.020,0.000
1606398310.559,-37.598,-50.781,-27.344,-25.391,0.000
1606398310.563,-45.898,-39.062,-29.297,-29.785,0.000
1606398310.567,-42.969,-40.039,-35.156,-31.250,0.000
1606398310.571,-40.527,-40.039,-30.762,-28.320,0.000
1606398310.575,-34.668,-29.785,-18.066,-25.391,0.000
1606398310.579,-28.809,-27.832,-18.555,-20.996,0.000
1606398310.583,-35.156,-41.992,-25.391,-25.391,0.000
1606398310.586,-41.016,-46.875,-36.133,-30.273,0.000
1606398310.590,-35.156,-40.527,-37.109,-26.855,0.000
1606398310.594,-32.227,-38.574,-25.879,-30.273,0.000
1606398310.598,-34.668,-30.273,-26.855,-25.391,0.000
1606398310.602,-39.062,-20.020,-28.320,-20.020,0.000
1606398310.606,-38.086,-17.090,-27.832,-26.367,0.000
1606398310.610,-30.273,-26.367,-31.250,-21.484,0.000
1606398310.614,-21.484,-27.832,-29.297,-17.578,0.000
1606398310.618,-20.508,-23.438,-19.531,-19.043,0.000
1606398310.622,-30.273,-20.020,-15.625,-24.414,0.000
1606398310.626,-35.645,-22.461,-24.902,-26.855,0.000
1606398310.629,-28.809,-32.715,-25.879,-26.367,0.000
1606398310.633,-23.438,-29.785,-26.855,-19.043,0.000
1606398310.637,-21.973,-25.391,-29.785,-12.695,0.000
1606398310.641,-25.879,-31.250,-33.691,-20.020,0.000
1606398310.645,-34.668,-36.133,-39.551,-20.508,0.000
1606398310.649,-29.785,-28.809,-41.992,-10.742,0.000
1606398310.653,-20.996,-23.438,-37.109,-7.812,0.000
1606398310.657,-22.461,-31.250,-24.902,-15.137,0.000
1606398310.661,-25.391,-32.227,-23.438,-20.020,0.000
1606398310.665,-24.902,-32.227,-21.973,-22.949,0.000
1606398310.668,-28.320,-32.227,-20.996,-25.879,0.000
1606398310.672,-26.855,-28.320,-24.902,-14.160,0.000
1606398310.676,-18.555,-33.691,-32.227,-10.742,0.000
1606398310.680,-16.113,-33.691,-54.688,-22.949,0.000
1606398310.684,-26.367,-35.645,-55.176,-30.762,0.000
1606398310.688,-36.133,-40.039,-28.320,-37.598,0.000
1606398310.692,-26.367,-32.227,-12.207,-33.203,0.000
1606398310.696,-22.461,-26.367,-19.531,-30.273,0.000
1606398310.700,-22.949,-31.738,-22.949,-23.926,0.000
1606398310.704,-27.832,-31.738,-18.066,-29.297,0.000
1606398310.708,-32.715,-25.879,-23.438,-33.691,0.000
1606398310.711,-28.320,-27.832,-29.785,-22.949,0.000
1606398310.715,-32.715,-32.715,-35.645,-22.949,0.000
1606398310.719,-41.016,-42.969,-35.156,-27.832,0.000
1606398310.723,-48.828,-51.758,-40.039,-32.715,0.000
1606398310.727,-48.340,-45.410,-33.203,-29.297,0.000
1606398310.731,-39.551,-25.879,-26.855,-22.461,0.000
1606398310.735,-38.574,-21.973,-33.203,-21.484,0.000
1606398310.739,-43.457,-26.855,-31.250,-31.738,0.000
1606398310.743,-45.410,-20.020,-34.180,-39.062,0.000
1606398310.747,-42.480,-28.809,-41.504,-30.273,0.000
1606398310.751,-39.062,-38.574,-35.645,-22.949,0.000
1606398310.754,-31.250,-39.062,-33.203,-22.461,0.000
1606398310.758,-27.344,-35.156,-38.574,-24.902,0.000
1606398310.762,-32.227,-24.902,-31.250,-29.297,0.000
1606398310.766,-35.156,-22.949,-22.949,-29.785,0.000
1606398310.770,-37.598,-22.461,-24.414,-30.273,0.000
1606398310.774,-28.809,-21.973,-24.414,-21.973,0.000
1606398310.778,-15.625,-34.668,-19.531,-9.766,0.000
1606398310.782,-22.461,-37.598,-19.531,-14.648,0.000
1606398310.786,-28.320,-28.809,-21.484,-20.996,0.000
1606398310.790,-20.508,-20.508,-27.832,-13.184,0.000
1606398310.793,-11.230,-27.832,-28.809,0.977,0.000
1606398310.797,-8.301,-36.133,-16.602,1.953,0.000
1606398310.801,-16.113,-29.785,-16.602,-9.766,0.000
1606398310.805,-26.367,-30.273,-25.391,-15.137,0.000
1606398310.809,-28.809,-32.227,-29.297,-14.160,0.000
1606398310.813,-12.207,-25.391,-24.414,-12.695,0.000
1606398310.817,-4.883,-28.320,-21.973,-6.836,0.000
1606398310.821,-19.531,-35.156,-31.250,-13.184,0.000
1606398310.825,-31.738,-38.574,-39.062,-22.949,0.000
1606398310.829,-33.203,-22.949,-30.762,-21.973,0.000
1606398310.833,-23.438,-11.230,-24.902,-17.090,0.000
1606398310.836,-19.043,-21.973,-24.902,-12.695,0.000
1606398310.840,-27.832,-34.668,-25.879,-9.277,0.000
1606398310.844,-37.109,-39.551,-39.551,-13.184,0.000
1606398310.848,-38.574,-31.738,-38.086,-14.648,0.000
1606398310.852,-27.344,-28.809,-29.297,-6.348,0.000
1606398310.856,-22.949,-28.320,-19.043,-3.906,0.000
1606398310.860,-35.156,-22.461,-13.184,-16.602,0.000
1606398310.864,-42.480,-24.902,-19.531,-29.297,0.000
1606398310.868,-41.992,-35.645,-26.855,-29.297,0.000
1606398310.872,-29.785,-31.250,-33.203,-24.414,0.000
1606398310.876,-17.090,-20.996,-38.086,-14.648,0.000
1606398310.879,-19.043,-34.668,-36.621,-14.160,0.000
1606398310.883,-30.762,-50.293,-32.227,-27.344,0.000
1606398310.887,-36.133,-38.086,-30.762,-37.598,0.000
1606398310.891,-37.109,-22.949,-31.738,-41.992,0.000
1606398310.895,-28.809,-28.320,-32.715,-30.762,0.000
1606398310.899,-22.461,-31.738,-29.785,-22.461,0.000
1606398310.903,-28.320,-20.996,-35.156,-24.414,0.000
1606398310.907,-29.785,-20.508,-46.387,-22.949,0.000
1606398310.911,-30.762,-32.715,-39.551,-22.461,0.000
1606398310.915,-28.809,-38.086,-30.273,-20.508,0.000
1606398310.918,-30.273,-28.809,-33.691,-23.438,0.000
1606398310.922,-40.527,-26.367,-43.945,-34.668,0.000
1606398310.926,-41.504,-33.203,-42.969,-37.109,0.000
1606398310.930,-34.180,-30.273,-43.457,-31.250,0.000
1606398310.934,-26.855,-23.438,-46.875,-27.832,0.000
1606398310.938,-28.809,-23.926,-36.621,-33.691,0.000
1606398310.942,-37.598,-32.715,-27.832,-41.992,0.000
1606398310.946,-37.109,-42.480,-30.762,-39.551,0.000
1606398310.950,-31.250,-40.527,-34.668,-32.227,0.000
1606398310.954,-30.273,-38.086,-35.645,-30.762,0.000
1606398310.958,-35.156,-44.922,-31.738,-35.645,0.000
1606398310.961,-40.527,-37.598,-29.785,-44.434,0.000
1606398310.965,-44.434,-29.297,-31.738,-41.016,0.000
1606398310.969,-41.992,-35.645,-34.668,-33.203,0.000
1606398310.973,-33.691,-54.688,-33.203,-26.367,0.000
1606398310.977,-29.297,-47.363,-28.809,-26.367,0.000
1606398310.981,-35.645,-26.367,-33.203,-36.133,0.000
1606398310.985,-43.457,-31.738,-34.180,-34.180,0.000
1606398310.989,-41.992,-33.203,-28.809,-32.227,0.000
1606398310.993,-28.320,-34.668,-24.414,-25.391,0.000
1606398310.997,-20.508,-41.016,-20.508,-20.996,0.000
1606398311.001,-35.156,-34.668,-23.438,-37.109,0.000
1606398311.004,-44.434,-28.809,-24.902,-44.434,0.000
